,ID,Year_Birth,Age,Age_category,Education,Marital_Status,Income,Income_category,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,TotalMnt,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,TotalAcceptedCmp,campaignAccept,Complain,Response
0,5524,1957,57,5. Elderly,2. Graduation,2. Single,58138.0,3. Upper-Middle,0,0,2012-09-04,58,635,88,546,172,88,88,1617,3,8,10,4,7,0,0,0,0,0,1,Accept,0,1
1,2174,1954,60,5. Elderly,2. Graduation,2. Single,46344.0,2. Lower-Middle,1,1,2014-03-08,38,11,1,6,2,1,6,27,2,1,1,2,5,0,0,0,0,0,0,Not Accept,0,0
2,4141,1965,49,5. Elderly,2. Graduation,1. Married,71613.0,4. Upper,0,0,2013-08-21,26,426,49,127,111,21,42,776,1,8,2,10,4,0,0,0,0,0,0,Not Accept,0,0
3,6182,1984,30,4. Adult,2. Graduation,1. Married,26646.0,1. Lower,1,0,2014-02-10,26,11,4,20,10,3,5,53,2,2,0,4,6,0,0,0,0,0,0,Not Accept,0,0
4,5324,1981,33,4. Adult,4. PhD,1. Married,58293.0,3. Upper-Middle,1,0,2014-01-19,94,173,43,118,46,27,15,422,5,5,3,6,5,0,0,0,0,0,0,Not Accept,0,0
5,7446,1967,47,5. Elderly,3. Master,1. Married,62513.0,3. Upper-Middle,0,1,2013-09-09,16,520,42,98,0,42,14,716,2,6,4,10,6,0,0,0,0,0,0,Not Accept,0,0
6,965,1971,43,4. Adult,2. Graduation,3. Divorced,55635.0,3. Upper-Middle,0,1,2012-11-13,34,235,65,164,50,49,27,590,4,7,3,7,6,0,0,0,0,0,0,Not Accept,0,0
7,6177,1985,29,4. Adult,4. PhD,1. Married,33454.0,1. Lower,1,0,2013-05-08,32,76,10,56,3,1,23,169,2,4,0,4,8,0,0,0,0,0,0,Not Accept,0,0
8,4855,1974,40,4. Adult,4. PhD,1. Married,30351.0,1. Lower,1,0,2013-06-06,19,14,0,24,3,3,2,46,1,3,0,2,9,0,0,0,0,0,1,Accept,0,1
9,5899,1950,64,5. Elderly,4. PhD,1. Married,5648.0,1. Lower,1,1,2014-03-13,68,28,0,6,1,1,13,49,1,1,0,0,20,1,0,0,0,0,1,Accept,0,0
10,1994,1983,31,4. Adult,2. Graduation,1. Married,44421.0,4. Upper,1,0,2013-11-15,11,5,5,6,0,2,1,19,1,1,0,2,7,0,0,0,0,0,0,Not Accept,0,0
11,387,1976,38,4. Adult,1. Basic,1. Married,7500.0,1. Lower,0,0,2012-11-13,59,6,16,11,11,1,16,61,1,2,0,3,8,0,0,0,0,0,0,Not Accept,0,0
12,2125,1959,55,5. Elderly,2. Graduation,3. Divorced,63033.0,3. Upper-Middle,0,0,2013-11-15,82,194,61,480,225,112,30,1102,1,3,4,8,2,0,0,0,0,0,0,Not Accept,0,0
13,8180,1952,62,5. Elderly,3. Master,3. Divorced,59354.0,3. Upper-Middle,1,1,2013-11-15,53,233,2,53,3,5,14,310,3,6,1,5,6,0,0,0,0,0,0,Not Accept,0,0
14,2569,1987,27,4. Adult,2. Graduation,1. Married,17323.0,1. Lower,0,0,2012-10-10,38,3,14,17,6,1,5,46,1,1,0,3,8,0,0,0,0,0,0,Not Accept,0,0
15,2114,1946,68,6. Old,4. PhD,2. Single,82800.0,4. Upper,0,0,2012-11-24,23,1006,22,115,59,68,45,1315,1,7,6,12,3,0,0,1,1,0,3,Accept,0,1
16,9736,1980,34,4. Adult,2. Graduation,1. Married,41850.0,2. Lower-Middle,1,1,2012-12-24,51,53,5,19,2,13,4,96,3,3,0,3,8,0,0,0,0,0,0,Not Accept,0,0
17,4939,1946,68,6. Old,2. Graduation,1. Married,37760.0,2. Lower-Middle,0,0,2012-08-31,20,84,5,38,150,12,28,317,2,4,1,6,7,0,0,0,0,0,0,Not Accept,0,0
18,6565,1949,65,5. Elderly,3. Master,1. Married,76995.0,4. Upper,0,1,2013-03-28,91,1012,80,498,0,16,176,1782,2,11,4,9,5,0,0,0,1,0,1,Accept,0,0
19,2278,1985,29,4. Adult,3. Master,2. Single,33812.0,1. Lower,1,0,2012-11-03,86,4,17,19,30,24,39,133,2,2,1,3,6,0,0,0,0,0,0,Not Accept,0,0
20,9360,1982,32,4. Adult,2. Graduation,1. Married,37040.0,2. Lower-Middle,0,0,2012-08-08,41,86,2,73,69,38,48,316,1,4,2,5,8,0,0,0,0,0,0,Not Accept,0,0
